الرقم,السؤال,الجواب,Family_Law_Category
949,ما حكم اشتراط المرأة أن لا يتزوج عليها زوجها؟,"اشتراط المرأة ألا يتزوج زوجها عليها شرط صحيح وملزم إذا وافقه الزوج، وفق نظام الأحوال الشخصية (المادة 22)، لكنه لا يمنع الزواج شرعًا، بل يُعطيها حق طلب التفريق إذا خالفه. .",Marriage
950,ما مثال على شرط باطل في عقد النكاح؟,"مثال على شرط باطل: اشتراط ألا ترث الزوجة زوجها، أو أن يكون الزواج مؤقتًا (كالمتعة)، لأنه يُخالف الشرع، ويُلغى الشرط دون العقد. فالشروط المحرمة باطلة.",Marriage
951,ما حكم الزواج من امرأة مسيحية؟,"نعم، يجوز للمسلم الزواج من امرأة مسيحية إذا كانت كتابية (أي تؤمن بالديانة المسيحية كما أُنزلت على عيسى عليه السلام قبل التحريف)، كما قال تعالى: ""وَالْمُحْصَنَاتُ مِنَ الَّذِينَ أُوتُوا الْكِتَابَ مِن قَبْلِكُمْ"" (المائدة: 5). الزواج من الكتابية جائز بشرط أن تكون عفيفة، ولا يشترط إسلامها. وفي نظام الأحوال الشخصية (المادة 16)، يُشترط أن يكون الزواج موثقًا وفق الضوابط الشرعية.",Marriage
952,ما حكم الزواج من امرأة يهودية؟,"نعم، يجوز للمسلم الزواج من امرأة يهودية إذا كانت كتابية (تؤمن بالديانة اليهودية كما أُنزلت على موسى عليه السلام قبل التحريف)، استنادًا إلى الآية: ""وَالْمُحْصَنَاتُ مِنَ الَّذِينَ أُوتُوا الْكِتَابَ"". فيجوز ذلك بشرط العفة، ولا يُشترط إسلامها. وفي نظام الأحوال الشخصية (المادة 16)، يُلزم توثيق الزواج شرعًا.",Marriage
953,هل يجوز الزواج من امرأة غير مسلمة إذا كانت لا تؤمن بأي دين؟,"لا يجوز للمسلم الزواج من امرأة لا تؤمن بأي دين (كالملحدة أو الوثنية)، لأن الزواج لا يصح شرعًا ويكون باطل إلا من مسلمة أو كتابية (يهودية أو مسيحية)، وفق قوله تعالى: ""وَلَا تَنكِحُوا الْمُشْرِكَاتِ حَتَّىٰ يُؤْمِنَّ"" (البقرة: 221)، والآية لا تُجيز إلا الكتابيات من أهل الكتاب.",Marriage
954,متى يحل الزواج من امرأة متزوجة سابقاً؟,"يجوز الزواج من امرأة كانت متزوجة سابقًا (مطلقة أو أرملة)، بشرط انتهاء عدتها من زوجها السابق، وهي ثلاث حيضات إذا كانت مطلقة وتحيض، أو ثلاثة أشهر إذا كانت آيسة، أو حتى الوضع إذا كانت حاملًا، أو أربعة أشهر وعشرة أيام إذا كانت أرملة، وفق نظام الأحوال الشخصية.",Marriage
955,هل يصح للمرأة أن تشترط على زوجها ألا يتزوج عليها؟,"نعم، يجوز للمرأة أن ترفض الزواج الذي يختاره وليها إذا لم تكن راضية بالزوج أو لم يكن كفؤًا (في الدين والخلق)، لأن رضاها شرط في صحة العقد، وفق حديث: ""لا تُزَوَّجُ الأيم حتى تُستأمر و البكر حتى تستأذن"" (رواه البخاري). وفي نظام الأحوال الشخصية، لا يجوز إجبارها على الزواج.",Marriage
956,ما هي مدة العدّة؟,"العدة هي المدة التي تتربص فيها المرأة بعد انتهاء زواجها (بالطلاق أو الخلع أو الوفاة) قبل أن تتزوج آخر، وتختلف حسب الحالة: فتكون بثلاث حيضات للمطلقة أو المختلعة إذا كانت تحيض، وثلاثة أشهر إذا كانت آيسة أو لا تحيض، حتى الوضع إذا كانت حاملًا، وأربعة أشهر وعشرة أيام إذا توفي زوجها، وهذا وفق نظام الأحوال الشخصية (المادة 135/1)، فإن العدة واجبة للتأكد من براءة الرحم..",Divorce
957,ما حكم من تزوج بامرأة أثناء عدتها؟,"الزواج من امرأة أثناء عدتها باطل شرعًا وقانونًا، لأنها محرمة على غير زوجها حتى تنتهي العدة، سواء كانت عدة طلاق أو وفاة، وفق نظام الأحوال الشخصية (المادة 10) التي تمنع الزواج في حالة الموانع الشرعية..",Divorce
958,هل يمكن أن يتم الزواج بدون مهر؟,"نعم، يصح الزواج بدون تسمية مهر في العقد، ويثبت للزوجة مهر المثل عند الدخول أو الوفاة، وفق نظام الأحوال الشخصية (المادة 18). لكن المهر حق للزوجة، ويُستحب تسميته لتفادي النزاع..",Marriage
959,ما حكم رفض الزوجة لمهرها؟,"المهر حق للزوجة شرعا، لكن يجوز لها التنازل عنه أو جزء منه برضاها بعد العقد دون إكراه، فالمهر حق لها، ولهَا التصرف فيه بالتنازل إذا شاءت بعد قبضه أو تعيينه.",Marriage
960,هل يجوز للرجل أن يزوج نفسه؟,"نعم، يجوز للرجل أن يُبرم عقد زواجه بنفسه إذا كان بالغًا عاقلًا ولا موانع شرعية (كالمحرمية أو العدة)، لأنه لا يحتاج إلى ولي كالمرأة، وفق نظام الأحوال الشخصية (المادة 13). فالرجل يملك ولاية نفسه في الزواج إذا استوفى الشروط..",Marriage
961,ما حكم الزواج في السر؟,"لا يجوز الزواج دون إعلان في أي مدة، لأن الإعلان عن الزواج شرط لصحة عقد الزواج. يتم الإعلان عبر الشهود والتوثيق، وفق نظام الأحوال الشخصية (المادة 13)، التي تلزم بإشهار عقد الزواج. الزواج السري يُعتبر باطلًا إذا لم يُشهد عليه..",Marriage
962,ما المقصود بعشرة النساء؟,"عشرة النساء تعني المعاشرة بين الزوجين في الحياة الزوجية أي أنها العلاقة الزوجية بما فيها من مودة ورحمة، وتشمل الحقوق (كالنفقة والمعاشرة) والواجبات (كالطاعة في المعروف والاحترام)، وفق قوله تعالى: 'وَعَاشِرُوهُنَّ بِالْمَعْرُوفِ' (النساء: 19)..",Marriage
963,ما حكم حسن العشرة بين الزوجين؟,"حسن العشرة بين الزوجين واجب شرعًا على كل منهما، وفق قوله تعالى: 'وَعَاشِرُوهُنَّ بِالْمَعْرُوفِ' (النساء: 19)، وقوله: 'وَلَهُنَّ مِثْلُ الَّذِي عَلَيْهِنَّ بِالْمَعْرُوفِ' (البقرة: 228). وفي نظام الأحوال الشخصية (المادة 23)، يُلزم الزوجان بالمعاشرة بالمعروف'.",Marriage
964,ما المقصود بالمعروف في العشرة الزوجية؟,"المعروف في العشرة الزوجية هو ما تعارف عليه الناس من حسن المعاملة، كالاحترام المتبادل، والتقدير، واللين، وعدم الإيذاء بالقول أو الفعل، وفق قوله تعالى: 'وَعَاشِرُوهُنَّ بِالْمَعْرُوفِ' (النساء: 19). ويشمل كل ما يحقق الاستقرار والمودة حسب العرف الشرعي.",Marriage
965,هل يجب على الزوج النفقة على زوجته؟,"نعم، يجب على الزوج النفقة على زوجته بالمعروف (طعامًا وشرابًا وكسوة وسكنًا)، وفق قوله تعالى: 'لِيُنفِقْ ذُو سَعَةٍ مِّن سَعَتِهِ' (الطلاق: 7)، ونظام الأحوال الشخصية (المادة 23).",Alimony and Maintenance 
966,هل يحق للزوجة طلب الطلاق إذا أساء الزوج عشرتها؟,"نعم، يحق للزوجة طلب الطلاق أو التفريق إذا أساء الزوج عشرتها (كالعنف أو الإهانة) وكان الضرر شديدًا ومستمرًا ولم تُصلح الأمور بالنصح أو التحكيم.",Divorce
967,هل يحق للزوجة أن تشترط عدم الزواج عليها؟,"نعم، يحق للزوجة أن تشترط في عقد الزواج عدم الزواج عليها بأخرى، وهو شرط صحيح وملزم إذا وافق الزوج عليه صراحةً، وفق نظام الأحوال الشخصية (المادة 22) التي تجيز الشروط في العقد ما لم تُخالف الشرع. فهذا الشرط جائز ويجب الوفاء به لأنه لا يُحرم حلالًا ولا يُحلل حرامًا، فإذا خالفه الزوج جاز لها طلب التفريق للضرر..",Marriage
968,ما المقصود بالقسم بين الزوجات؟,"القسم بين الزوجات هو العدل الواجب على الزوج في حال التعدد، ويشمل توزيع الوقت في المبيت بينهن بالتساوي، وتوفير النفقة والسكنى بحسب حاجة كل زوجة وقدرته المالية، بناءً على قوله تعالى: ""فَانكِحُوا مَا طَابَ لَكُم مِّنَ النِّسَاءِ... فَإِنْ خِفْتُمْ أَلَّا تَعْدِلُوا فَوَاحِدَةً"" (النساء: 3). فالقسم من شروط التعدد..",Alimony and Maintenance 
969,هل يجوز للزوج أن يمنع زوجته من الإنفاق من مالها الخاص؟,"لا يجوز للزوج منع زوجته من الإنفاق من مالها الخاص، لأن المال ملكيتها الشخصية ولها الحق في التصرف فيه شرعًا وقانونًا،  التي تؤكد استقلال المرأة المالي. لكن يُستحسن التشاور بينهما في الأمور المالية للحفاظ على الود الزوجي. فللمرأة حق التصرف في مالها دون ولاية الزوج ما لم يكن هناك ضرر على الأسرة..",Alimony and Maintenance 
970,ما معنى القسم بين الزوجات؟,"القسم بين الزوجات يعني العدل الواجب على الزوج في توزيع الوقت للمبيت بين زوجاته بالتساوي، والإنفاق عليهن حسب حاجتهن وقدرته، والمعاملة بالمعروف دون تمييز ظالم، استنادًا إلى قوله تعالى: ""وَلَن تَسْتَطِيعُوا أَن تَعْدِلُوا بَيْنَ النِّسَاءِ وَلَوْ حَرَصْتُمْ"" (النساء: 129) في الميل القلبي، لكن العدل في الظاهر واجب..",Alimony and Maintenance 
971,هل يجب العدل بين الزوجات في المحبة القلبية؟,"لا يجب العدل بين الزوجات في المحبة القلبية، لأنها أمر خارج عن إرادة الإنسان، كما في قوله تعالى: ""وَلَن تَسْتَطِيعُوا أَن تَعْدِلُوا بَيْنَ النِّسَاءِ"" (النساء: 129)، لكن يجب العدل في الأمور الظاهرة كالمبيت والنفقة والمعاملة، وفق نظام الأحوال الشخصية (المادة 27). كما أن الميل القلبي لا يُؤاخذ به إذا لم يؤثر على العدل الواجب.",Marriage
972,هل يجوز للزوج أن يبيت عند إحدى زوجاته أكثر من الأخرى؟,"لا يجوز للزوج أن يبيت عند إحدى زوجاته أكثر من الأخرى دون رضا الزوجة الأخرى، لأن العدل في المبيت واجب شرعًا، وإلا كان ظلمًا محرمًا، وفق نظام الأحوال الشخصية (المادة 27). لكن إذا رضيت الزوجة الأخرى بتنازل عن حقها في المبيت، جاز ذلك. كما أن القسم في المبيت واجب، وتركه بغير رضا ظلم يُحاسب عليه..",Marriage
973,ما حكم تفضيل زوجة على أخرى في الإنفاق؟,"لا يجوز تفضيل زوجة على أخرى في الإنفاق بقصد الظلم أو التمييز، بل يجب العدل بينهن في النفقة بحسب حاجة كل واحدة (كعدد الأولاد أو الظروف) وقدرة الزوج المالية، وفق نظام الأحوال الشخصية (المادة 27). كما أن النفقة تُقسم بالعدل، وتفضيل إحداهن بغير مسوغ ظلم محرم.",Alimony and Maintenance 
974,هل يجوز للزوجة التنازل عن ليلتها لأخرى؟,"نعم، يجوز للزوجة التنازل عن ليلتها في القسم لزوجة أخرى باختيارها ورضاها دون إكراه، ويصبح ذلك جائزًا للزوج حينها، وفق نظام الأحوال الشخصية (المادة 27) التي تُركز على العدل مع مراعاة رضا الزوجات. فإن للزوجة التنازل عن حقها في المبيت إذا رضيت، ولا يجوز للزوج إجبارها على ذلك..",Marriage
975,هل يجوز للزوجة طلب الطلاق إذا شعرت بالظلم في القسم؟,"نعم، يجوز للزوجة طلب الطلاق أو التفريق إذا شعرت بالظلم في القسم (كتفضيل زوجة أخرى في المبيت أو النفقة) وكان الظلم واضحًا ومستمرًا دون إصلاح من الزوج، لأنه ضرر يُبرر التفريق. كما أن الظلم في القسم قد يُوجب التفريق إذا استحكم الشقاق ولم يُمكن الإصلاح..",Divorce
976,ما الفرق بين العدل في القسم والعدل في المحبة؟,"العدل في القسم واجب شرعًا في الأمور الظاهرة كالمبيت والنفقة والمعاملة بين الزوجات، بينما العدل في المحبة القلبية غير واجب ولا مُطالب به لأنه خارج عن إرادة الإنسان، كما في قوله تعالى: ""وَلَن تَسْتَطِيعُوا أَن تَعْدِلُوا بَيْنَ النِّسَاءِ"" (النساء: 129). القسم ملزم في الظاهر دون القلب.",Marriage
977,هل يجوز التفاوت في النفقة بين الزوجات؟,"نعم، يجوز التفاوت في النفقة بين الزوجات إذا كان بسبب اختلاف حاجاتهن (كوجود أولاد لإحداهن أو مرض)، وليس بقصد التفضيل الظالم، ويُراعى قدرة الزوج المالية، وفق نظام الأحوال الشخصية (المادة 27). فإن النفقة تُقسم بحسب الحاجة لا بالمساواة الحرفية، لكن التفضيل بلا مبرر ظلم..",Alimony and Maintenance 
978,ما الفرق بين القسم في المبيت والقسم في النفقة؟,"القسم في المبيت يجب أن يكون متساويًا بين الزوجات في عدد الليالي دون تمييز إلا برضاهن، بينما القسم في النفقة يكون بحسب حاجة كل زوجة (كعدد الأولاد أو الظروف) وقدرة الزوج. أي أن المبيت يُقسم بالتساوي، والنفقة بالعدل حسب الحاجة..",Alimony and Maintenance 
979,هل يجوز للزوج تخصيص وقت إضافي لإحدى زوجاته بسبب ظروف خاصة؟,"نعم، يجوز للزوج تخصيص وقت إضافي لإحدى زوجاته إذا كانت هناك ظروف ضرورية (كمرض أو ولادة أو سفر)، بشرط أن يعوض الزوجات الأخريات لاحقًا أو يحصل على رضاهن. كما أن العذر الشرعي يُبيح التفاوت في القسم مع التعويض أو الرضا..",Marriage
980,ما معنى النشوز في الإسلام؟,"النشوز في الإسلام هو امتناع أحد الزوجين عن أداء الحقوق الزوجية الواجبة شرعًا، سواء من الزوجة (كرفض الطاعة في المعروف) أو من الزوج (كإهمال النفقة أو سوء المعاملة)، وهو مأخوذ من قوله تعالى: ""وَاللَّاتِي تَخَافُونَ نُشُوزَهُنَّ"" (النساء: 34)..",Marriage
981,ما أنواع النشوز؟,النشوز نوعان ولكل منها حكمه وعلاجه. اولاً هو نشوز الزوجة: امتناعها عن طاعة زوجها في المعروف (كالمبيت أو المعاشرة) دون عذر شرعي. ثانياً نشوز الزوج: إهماله حقوق زوجته (كالنفقة أو السكنى) أو سوء معاملته لها.,Marriage
982,كيف يجب التعامل مع الزوجة الناشز؟,"يُعامل الزوج الزوجة الناشز بثلاث مراحل وفق قوله تعالى: ""وَاللَّاتِي تَخَافُونَ نُشُوزَهُنَّ فَعِظُوهُنَّ وَاهْجُرُوهُنَّ فِي الْمَضَاجِعِ وَاضْرِبُوهُنَّ"" (النساء: 34)، اولاً الموعظة بالحكمة والنصح. ثانياً الهجر في المضجع (كتجنب الكلام أو النوم معها). ثالثاً الضرب غير المبرح (بحدود خفيفة كالمسواك) إذا استمر النشوز ولم يُجدِ الحلان السابقان. هذه المراحل تُتبع تدريجيًا، ويُفضل اللجوء إلى القضاء إذا فشلت.",Marriage
983,هل يمكن للزوجة أن ترفع قضية نشوز ضد زوجها؟,"نعم، يمكن للزوجة رفع قضية نشوز ضد زوجها إذا أساء معاملتها أو أهمل حقوقها (كالنفقة أو السكنى)، وذلك برفع دعوى إلى المحكمة لإلزامه بحقوقها أو التفريق. نشوز الزوج يُرفع إلى الحاكم لإنصاف الزوجة.",Marriage
984,هل يجوز للزوجة طلب الطلاق بسبب نشوز الزوج؟,"نعم، يجوز للزوجة طلب الطلاق أو التفريق إذا كان الزوج ناشزًا بإساءة معاملتها أو إهمال حقوقها الشرعية (كالنفقة أو المعاشرة)، لأنه ضرر يُبرر التفريق، نشوز الزوج إذا استمر وسبب شقاقًا جاز للحاكم التفريق.",Marriage
985,ما الفرق بين النشوز والهجر؟,"النشوز هو الامتناع عن أداء الحقوق الزوجية من أي من الطرفين، بينما الهجر هو أسلوب تأديبي يستخدمه الزوج مع الزوجة الناشز بترك معاشرتها في المضجع كمرحلة علاجية، وفق قوله تعالى: ""وَاهْجُرُوهُنَّ فِي الْمَضَاجِعِ"" (النساء: 34). النشوز سبب والهجر علاج.",Marriage
986,هل يعتبر امتناع الزوج عن النفقة نشوزًا؟,"نعم، يُعتبر امتناع الزوج عن النفقة نشوزًا إذا كان قادرًا ماليًا وامتنع دون سبب شرعي، لأن النفقة حق واجب على الزوج، وفق نظام الأحوال الشخصية.",Alimony and Maintenance 
987,هل يجوز للزوجة رفض طلب زوجها للمعاشرة الزوجية؟,"لا يجوز للزوجة رفض طلب زوجها للمعاشرة الزوجية دون عذر شرعي (كالحيض أو المرض أو الضرر)، وإلا تُعتبر ناشزًا وتسقط نفقتها، فأن رفض المعاشرة بغير عذر نشوز، كما ذكر في حديث: ""إذا دعا الرجل امرأته إلى فراشه فأبت فبات غضبان عليها لعنتها الملائكة"" (رواه البخاري).",Marriage
988,هل يجوز للزوجة مغادرة بيت الزوجية دون إذن زوجها؟,"لا يجوز للزوجة مغادرة بيت الزوجية دون إذن زوجها إلا لعذر شرعي (كالخوف من ضرر أو زيارة محارمها بعلمه)، وإلا تُعتبر ناشزًا وتفقد حقها في النفقة، فإن الخروج بغير إذن نشوز إلا إذا كان لعذر كالضرورة أو رفع الظلم.",Marriage
989,هل يجوز للزوج الامتناع عن النفقة بسبب نشوز زوجته؟,"نعم، يجوز للزوج الامتناع عن النفقة إذا نشزت الزوجة (كرفضها الطاعة أو مغادرتها البيت بغير حق)، لأن النفقة واجبة مقابل الطاعة في المعروف. الناشز تُحرم النفقة ما لم تعُد إلى الطاعة أو تثبت عذرًا شرعيًا.",Alimony and Maintenance 
990,هل يحق للزوجة فرض شروط معينة للعودة بعد النشوز؟,"نعم، يجوز للزوجة الاشتراط عند العودة من النشوز ما دام الشرط مشروعًا ويهدف إلى تحسين العلاقة الزوجية، ويجب على الزوج الوفاء به إذا قَبِلَه، التي تنص على جواز الصلح بين الزوجين واشتراط ما يحقق المصلحة بينهما.",Marriage
991,ما الحكم إذا كان النشوز من الزوج؟,"إذا كان النشوز من الزوج (كسوء المعاملة أو الامتناع عن النفقة أو الهجر دون سبب شرعي)، فعلى الزوجة أن تنصحه أولًا وتحاول إصلاحه بالمعروف، فإن استمر في ظلمه وجب عليها اللجوء إلى القضاء لرفع الضرر عنها، يمكنها طلب التفريق للضرر أو إلزامه بالنفقة، ويذكر ""كشاف القناع"" أن نشوز الزوج إذا أدى إلى الشقاق والضرر يُرفع إلى الحاكم للنظر في التفريق أو الإصلاح.",Marriage
992,هل يمكن للزوجة إجبار زوجها على الإنفاق إذا كان ناشزًا؟,"نعم، يمكن للزوجة إجبار زوجها الناشز (الذي يمتنع عن الإنفاق أو يهمل حقوقها) على الإنفاق برفع دعوى إلى المحكمة، حيث يُلزم القاضي الزوج بالنفقة الواجبة شرعًا وقانونًا إذا ثبت تقصيره. فإن النفقة حق واجب على الزوج، فإن امتنع ناشزًا جاز للقاضي إلزامه أو التفريق إذا استمر الضرر.",Alimony and Maintenance 
993,هل يمكن للمحكمة فرض عقوبات على الزوج الناشز؟,"نعم، يمكن للمحكمة فرض عقوبات على الزوج الناشز إذا ثبت أنه يضر زوجته أو يهمل حقوقها الشرعية (كالنفقة أو المعاشرة بالمعروف)، كإلزامه بالنفقة أو الحبس التنفيذي إذا امتنع عن الامتثال.",Marriage
994,هل يجوز للزوجة اشتراط عدم الزواج عليها بأخرى لتجنب النشوز؟,"نعم، يجوز للزوجة اشتراط عدم الزواج عليها بأخرى في عقد الزواج لتجنب النشوز أو الضرر، فإذا وافق الزوج صراحةً أصبح ملزمًا بهذا الشرط قانونًا وشرعًا، وفق نظام الأحوال الشخصية التي تجيز الشروط في العقد ما لم تُخالف الشرع.",Marriage
995,هل يمكن للزوجة طلب المساعدة القانونية في حالات النشوز؟," نعم، يمكن للزوجة طلب المساعدة القانونية في حالات نشوز الزوج إذا تعرضت للضرر أو الظلم (كعدم الإنفاق أو سوء المعاملة)، برفع دعوى إلى المحكمة للمطالبة بحقوقها أو التفريق. كما يمكنها طلب مساعدة من الجهات الحكومية أو المحامين.",Marriage
996,هل يجوز للزوجة مغادرة المنزل بسبب سوء معاملة زوجها؟,"نعم، يجوز للزوجة مغادرة المنزل إذا كانت تتعرض لسوء معاملة من زوجها تُسبب ضررًا واضحًا (كالعنف أو الإهانة الشديدة)، بشرط أن تلجأ إلى القضاء لإثبات ذلك وحماية حقوقها. فالزوجة إذا خافت على نفسها من ضرر الزوج جاز لها الخروج، ولا تُعد ناشزًا إذا كان لها عذر شرعي كالخوف.",Marriage
997,ما الفرق بين النشوز وسوء العشرة؟,"النشوز هو الامتناع الكلي أو الجزئي عن أداء الحقوق الشرعية، كامتناع الزوجة عن طاعة زوجها بغير حق، أو امتناع الزوج عن النفقة أو المعاشرة بالمعروف. أما سوء العشرة فهو التصرفات المسيئة (كالإهانة أو الغلظة) دون أن يصل إلى الامتناع الصريح عن الحقوق، لكنه قد يؤدي إلى النشوز إذا تفاقم. وكلاهما قد يؤدي إلى الشقاق ويُبرر التفريق إذا ثبت الضرر. وذلك وفق نظام الأحوال الشخصية.",Marriage
998,هل يمكن للقاضي إجبار الزوجة على العودة بعد النشوز؟,"نعم، يمكن للقاضي إجبار الزوجة على العودة إلى بيت الزوجية إذا ثبت أنها ناشز بتركها البيت دون سبب شرعي (كالضرر أو عدم الإنفاق)، وذلك بعد التحقيق  لكن إذا أثبتت سببًا مشروعًا كسوء المعاملة، فلا تُجبر.",Marriage
999,ما الإجراءات القانونية المتاحة للزوجة ضد الزوج الناشز؟,"الإجراءات القانونية المتاحة للزوجة ضد الزوج الناشز تشمل: اولاً، رفع دعوى لإلزامه بالنفقة إذا امتنع عنها  ثانيا، طلب التفريق للضرر إذا استمر نشوزه (كالعنف أو الهجر)  ثالثاً، المطالبة بالحضانة أو السكنى إذا كانت متضررة.",Marriage
1000,ما الفرق بين نشوز الزوجة ونشوز الزوج؟,"نشوز الزوجة هو امتناعها عن أداء حقوق زوجها الشرعية (كالطاعة في المعروف أو المعاشرة) دون عذر شرعي. أما نشوز الزوج فيكون بإهماله حقوق الزوجة (كالنفقة أو السكنى) أو بسوء معاملته لها (كالهجر أو العنف).  يترتب على نشوز الزوجة سقوط نفقتها، وعلى نشوز الزوج إلزامه بحقوقها أو التفريق. النشوز من الزوجة عصيان، ومن الزوج ظلم.",Marriage
1001,ما هو تعريف الخلع في الشريعة الإسلامية؟,"الخلع في الشريعة الإسلامية هو إنهاء عقد الزواج بطلب من الزوجة مقابل عوض (فدية) تدفعه للزوج، غالبًا يكون برد المهر أو دفع مبلغ آخر يتفقان عليه أو يُحدده القاضي، بناءً على قوله تعالى: ""فَإِنْ خِفْتُمْ أَلَّا يُقِيمَا حُدُودَ اللَّهِ فَلَا جُنَاحَ عَلَيْهِمَا فِيمَا افْتَدَتْ بِهِ"" (البقرة: 229). فالخلع طلاق بائن بفدية من الزوجة.",Khulʿ
1002,ما الدليل على مشروعية الخلع؟,"ثبتت مشروعيته في القرآن الكريم والسنة النبوية، ومنها حديث امرأة ثابت بن قيس التي طلبت الخلع.",Khulʿ
1003,هل يشترط رضا الزوج في الخلع؟,"في الأصل، يشترط رضا الزوج في الخلع الرضائي لأنه عقد تراضٍ، لكن إذا رفض الزوج دون سبب مقبول ورغم وجود ضرر على الزوجة (كسوء المعاملة)، يجوز للقاضي الحكم بالخلع دون رضاه.",Khulʿ
1004,هل الخلع يعتبر طلاقًا أم فسخًا؟,"الخلع يعتبر فسخ لعقد الزواج وليس طلاقًا، فلا يُحسب من الطلقات، ولا يمنع الزوج من إعادة الزواج بها بعقد جديد دون الحاجة إلى محلل. ، يُعامل الخلع كإنهاء للعقد بائنًا.",Khulʿ
1005,ما الحكمة من تشريع الخلع؟,"الحكمة من تشريع الخلع هي رفع الضرر عن الزوجة إذا كرهت العيش مع زوجها ولم تستطع الاستمرار بالمعاشرة بالمعروف، وحمايتها من الوقوع في المعصية إذا خافت ألا تُقيم حدود الله، كما في قوله تعالى: ""فَلَا جُنَاحَ عَلَيْهِمَا فِيمَا افْتَدَتْ بِهِ"" (البقرة: 229). فالخلع رحمة للزوجة لتخليصها من زواج لا تستطيع تحمله..",Khulʿ
1006,هل يجوز للزوج إجبار زوجته على الخلع؟," لا يجوز للزوج إجبار زوجته على الخلع، لأن الخلع يكون بطلب الزوجة وإرادتها الحرة مقابل فدية، ولا يحق للزوج فرضه عليها، وإلا كان ظلمًا محرمًا.  الخلع ينشأ من الزوجة، فإن إجبارها على الخلع باطل شرعًا لأنه يُخالف أصل المشروعية..",Khulʿ
1007,هل يجوز للزوجة طلب الخلع لأي سبب؟,"نعم، يجوز للزوجة طلب الخلع إذا كرهت العيش مع زوجها وخافت ألا تُقيم حدود الله بالمعاشرة بالمعروف، كما في حديث امرأة ثابت بن قيس، سواء كان السبب ضررًا واضحًا (كالعنف) أو كراهية نفسية، الكراهية المستحكمة سبب كافٍ للخلع إذا خشيت العصيان،",Khulʿ
1008,هل يجوز للقاضي إجبار الزوج على قبول الخلع؟,"نعم، يجوز للقاضي إجبار الزوج على قبول الخلع إذا ثبت أنه يُسيء إلى الزوجة أو يمنعها من حقوقها أو يسبب لها ضررًا (كالهجر أو العنف)، وذلك بحكم قضائي يُحدد العوض، ",Khulʿ
1009,ما مقدار المال الذي تدفعه الزوجة في الخلع؟,"مقدار المال في الخلع غالبًا يكون المهر الذي دفعه الزوج (مقدمه أو مؤخره)، لكن يجوز أن يكون أكثر أو أقل حسب اتفاق الزوجين أو تقدير القاضي إذا رفض الزوج التراضي،",Khulʿ
1010,هل يمكن للزوجة أن تطلب الخلع بدون مبرر شرعي؟," ليس من الأصل طلب الخلع بدون مبرر شرعي واضح (كالضرر أو سوء العشرة)، لكن إذا كرهت الزوجة زوجها كراهية شديدة وخافت ألا تُقيم حدود الله بالعشرة بالمعروف، فلها الحق في طلب الخلع حتى بدون ضرر مادي ملموس.",Khulʿ
1011,هل هناك فرق بين الخلع والفدية؟," الخلع والفدية مترادفان في الاستخدام العام، فالخلع هو إنهاء الزواج بطلب الزوجة مقابل فدية تدفعها للزوج، والفدية هي العوض نفسه (كالمهر أو غيره). لكن في بعض السياقات الفقهية، الخلع أعم من الفدية، فقد يكون الخلع بمال أو منفعة، والفدية تُطلق على المال تحديدًا،  العوض هو الفدية في سياق الخلع..",Khulʿ
1012,هل يشترط حضور شهود عند الخلع؟,"في النظام السعودي، يُفضل توثيق الخلع لدى المحكمة أو الجهات المختصة بحضور القاضي لضمان حفظ حقوق الطرفين وتجنب النزاعات، ولا يتطلب ذلك شهودًا إذا تم التوثيق رسميًا. فإذا كان الخلع قضائيًا (بحكم القاضي)، فلا حاجة للشهود أيضًا لأن الحكم القضائي يُغني عن ذلك..",Khulʿ
1013,هل يجوز للمرأة أن تطلب الخلع إذا كان زوجها عاقرًا؟,"نعم، يجوز للمرأة أن تطلب الخلع إذا كان زوجها عاقرًا وكانت ترى أن عدم الإنجاب يسبب لها ضررًا نفسيًا أو اجتماعيًا أو يمنعها من تحقيق غرض أساسي من الزواج (كالأمومة)، خاصة إذا شعرت أنها لا تستطيع الاستمرار معه وخافت ألا تُقيم حدود الله. يحق للقاضي الحكم بالخلع إذا ثبت الضرر، ويُعتبر العقم سببًا محتملاً للضرر إذا أثر على استقرار حياتها الزوجية. فالخلع جائز إذا كرهت الزوجة زوجها لسبب يمنع استمرار العشرة بالمعروف، ومن ذلك ما يتعلق بالعقم إذا كان يُسبب لها مشقة نفسية شديدة.",Khulʿ
1014,هل يحق للزوجة طلب الخلع بسبب سوء أخلاق الزوج؟,"نعم، يحق للزوجة طلب الخلع أو الفسخ بسبب سوء أخلاق الزوج إذا كان يؤذيها نفسيًا أو جسديًا أو كان سيئ العشرة، كالإهانة المستمرة أو العنف أو الإهمال، لأن ذلك يُعد ضررًا يُبرر التفريق. يجوز للقاضي الحكم بالفسخ دون عوض إذا ثبت الضرر من سوء خلق الزوج، سواء بالشهادة أو الأدلة.",Khulʿ
1015,هل يحق للزوج رفض الخلع إذا كانت الزوجة متضررة؟,"لا يحق للزوج رفض الخلع إذا ثبت أن الزوجة متضررة ضررًا واضحًا (كالعنف أو الهجر أو سوء العشرة)، لأن القاضي يملك سلطة الحكم بالفسخ بدون عوض في هذه الحالة دون رضاه، إذا ثبت الضرر بعد التحقيق، يُفرّق القاضي بين الزوجين ويُحدد العوض إن لزم، حتى لو رفض الزوج.",Khulʿ
